2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  ------------------------Start------------------------
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  加载日志组全局保存目录  [日志目录] 完毕
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  加载插件用户全局反挂值  [全局参数] 完毕
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  加载升级功能参数值完毕  [增强功能] 控制
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  加载用户自定义日志等级  [分级显示] 完毕
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  加载用户自定义惩罚策略  [惩罚模式] 完毕
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  加载武器补偿速度值完毕  [0] 组
2016-11-29 21:17:13 - 目录:D:\MirServer\Mir200 - 事件:  初始化骰子博彩数据参数  [全部数据] 完毕
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [RM_MSG_A:1]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SM_bItem:6310184]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SM_MonGen:7127036]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendMsg:7519400]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendRefMsg:7519504]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendSocket:7521096]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [DeleteBagItem:7519336]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [GetManageNpc:7522592]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [GetFunctionNpc:7522612]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [ClientQueryBagItems:7521676]
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎魔法数据库  [数据 210] 完毕
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎物品数据库  [数据 650] 完毕
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎怪物数据库  [数据 414] 完毕
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  加载检测魔法配置组完毕  [52] 组
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  加载药品检测配置组完毕  [77] 组
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  创建系统内部主循环消息  [32661] :HADEL
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  创建引擎结构主循环消息  [32660] :HADEL
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  创建角色消息多线程处理  [32659] :HADEL
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  创建假人处理多线程处理  [32658] :HADEL
2016-11-29 21:17:17 - 目录:D:\MirServer\Mir200 - 事件:  ------------------------End--------------------------
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  ------------------------Start------------------------
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  加载日志组全局保存目录  [日志目录] 完毕
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  加载插件用户全局反挂值  [全局参数] 完毕
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  加载升级功能参数值完毕  [增强功能] 控制
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  加载用户自定义日志等级  [分级显示] 完毕
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  加载用户自定义惩罚策略  [惩罚模式] 完毕
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  加载武器补偿速度值完毕  [0] 组
2016-11-29 21:28:07 - 目录:D:\MirServer\Mir200 - 事件:  初始化骰子博彩数据参数  [全部数据] 完毕
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [RM_MSG_A:1]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SM_bItem:6310184]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SM_MonGen:7127036]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendMsg:7519400]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendRefMsg:7519504]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendSocket:7521096]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [DeleteBagItem:7519336]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [GetManageNpc:7522592]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [GetFunctionNpc:7522612]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [ClientQueryBagItems:7521676]
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎魔法数据库  [数据 210] 完毕
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎物品数据库  [数据 650] 完毕
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎怪物数据库  [数据 414] 完毕
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  加载检测魔法配置组完毕  [52] 组
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  加载药品检测配置组完毕  [77] 组
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  创建系统内部主循环消息  [32511] :HADEL
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  创建引擎结构主循环消息  [32510] :HADEL
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  创建角色消息多线程处理  [32509] :HADEL
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  创建假人处理多线程处理  [32508] :HADEL
2016-11-29 21:28:10 - 目录:D:\MirServer\Mir200 - 事件:  ------------------------End--------------------------
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  ------------------------Start------------------------
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  加载日志组全局保存目录  [日志目录] 完毕
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  加载插件用户全局反挂值  [全局参数] 完毕
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  加载升级功能参数值完毕  [增强功能] 控制
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  加载用户自定义日志等级  [分级显示] 完毕
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  加载用户自定义惩罚策略  [惩罚模式] 完毕
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  加载武器补偿速度值完毕  [0] 组
2016-11-29 21:34:28 - 目录:D:\MirServer\Mir200 - 事件:  初始化骰子博彩数据参数  [全部数据] 完毕
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [RM_MSG_A:1]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SM_bItem:6310184]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SM_MonGen:7127036]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendMsg:7519400]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendRefMsg:7519504]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [SendSocket:7521096]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [DeleteBagItem:7519336]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [GetManageNpc:7522592]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [GetFunctionNpc:7522612]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  汇编函数接口初始化完毕  [ClientQueryBagItems:7521676]
2016-11-29 21:34:31 - 目录:D:\MirServer\Mir200 - 事件:  同步加载引擎魔法数据库  [数据 210] 完毕
